,PROCEDIMENTO,"RN (alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
1365,SUBSTITUIÇÃO ESOFÁGICA - CÓLON OU TUBO GÁSTRICO,,,,,HCO,HSO,REF,,,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1366,TRATAMENTO CIRÚRGICO DA ATRESIA DE ESÔFAGO COM OU SEM FÍSTULA TRAQUEAL,,,,,HCO,HSO,REF,,,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1367,TRATAMENTO CIRÚRGICO DAS VARIZES ESOFÁGICAS,,,,,HCO,HSO,REF,,,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1368,TRATAMENTO CIRÚRGICO DO DIVERTÍCULO ESOFÁGICO,,,,,HCO,HSO,REF,,,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1369,TRATAMENTO CIRÚRGICO DO DIVERTÍCULO FARINGOESOFÁGICO,,,,,HCO,HSO,REF,,,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1370,TRATAMENTO CIRÚRGICO DO MEGAESÔFAGO,,,,,HCO,HSO,REF,,,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1371,TRATAMENTO CIRÚRGICO DO MEGAESOFAGO POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1372,TUNELIZAÇÃO ESOFÁGICA,,,,,HCO,HSO,REF,,,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1373,"COLOCAÇÃO DE BANDA GÁSTRICA POR VIDEOLAPAROSCOPIA OU VIA LAPAROTÔMICA (COM DIRETRIZ DEUTILIZAÇÃO)",,,,,HCO,HSO,REF,,16.0,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1374,CONVERSÃO DE ANASTOMOSE GASTROJEJUNAL,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1375,DEGASTROGASTRECTOMIA COM OU SEM VAGOTOMIA,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1376,GASTRECTOMIA COM OU SEM VAGOTOMIA/ COM OU SEM LINFADENECTOMIA,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1377,GASTRECTOMIA COM OU SEM VAGOTOMIA/ COM OU SEM LINFADENECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1378,GASTRECTOMIA COM RECONSTRUÇÃO JEJUNAL COM OU SEM TORACOTOMIA,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1379,GASTRECTOMIA TOTAL OU PARCIALCOM OU SEM LINFADENECTOMIA,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1380,GASTROENTEROANASTOMOSE,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1381,"GASTROPLASTIA (CIRURGIA BARIÁTRICA) POR VIDEOLAPAROSCOPIA OU VIA LAPAROTÔMICA (COM DIRETRIZDE UTILIZAÇÃO)",,,,,HCO,HSO,REF,,27.0,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1382,GASTRORRAFIA,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1383,GASTROSTOMIA CONFECÇÃO / FECHAMENTO,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1384,GASTROSTOMIA PARA QUALQUER FINALIDADE,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1385,MEMBRANA ANTRAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1386,PILOROPLASTIA,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1387,PILOROPLASTIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1388,TRATAMENTO CIRÚRGICO DAS VARIZES GÁSTRICAS,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1389,VAGOTOMIA (QUALQUER TIPO),,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1390,VAGOTOMIA SUPERSELETIVA OU VAGOTOMIA GÁSTRICA PROXIMAL POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1391,AMPUTAÇÃO ABDÔMINO-PERINEAL DO RETO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1392,AMPUTAÇÃO ABDÔMINO-PERINEAL DO RETO POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1393,AMPUTAÇÃO DO RETO POR PROCIDÊNCIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1394,ANOMALIA ANORRETAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1395,ANORRETOMIOMECTOMIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1396,APENDICECTOMIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1397,APENDICECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1398,APPLE-PEEL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1399,ATRESIA INTESTINAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1400,CIRURGIA DE ABAIXAMENTO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1401,CIRURGIA DE ABAIXAMENTO POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1402,CIRURGIA DE ACESSO POSTERIOR,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1403,CISTO MESENTÉRICO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1404,CISTO MESENTÉRICO - TRATAMENTO POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1405,COLECTOMIA COM OU SEM COLOSTOMIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1406,COLECTOMIA COM OU SEM COLOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1407,COLECTOMIA COM ÍLEO-RETO-ANASTOMOSE,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1408,COLECTOMIA COM ILEOSTOMIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1409,COLECTOMIA COM ILEOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1410,COLECTOMIA COM ÍLEO-RETO-ANASTOMOSE POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1411,COLOCAÇÃO DE SONDA ENTERAL,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1412,COLOSTOMIA OU ENTEROSTOMIA - CONFECÇÃO / FECHAMENTO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1413,COLOTOMIA E COLORRAFIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1414,DESTORÇÃO DE VOLVO POR LAPAROTOMIA OU POR VIA ENDOSCÓPICA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1415,DISTORÇÃO DE VOLVO POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1416,DIVERTÍCULO DE MECKEL - EXÉRESE,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1417,DIVERTÍCULO DE MECKEL - EXÉRESE POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1418,DUPLICAÇÃO DO TUBO DIGESTIVO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1419,ENTERECTOMIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1420,ENTERECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1421,ENTERO-ANASTOMOSE,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1422,ENTERO-ANASTOMOSE POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1423,ENTEROCOLITE NECROTIZANTE - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1424,ENTEROPEXIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1425,ENTEROPEXIA (QUALQUER SEGMENTO) POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1426,ENTEROTOMIA E/OU ENTERORRAFIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1427,ESPORÃO RETAL - RESSECÇÃO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1428,ESVAZIAMENTO PÉLVICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1429,ESVAZIAMENTO PÉLVICO POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1430,FECALOMA - REMOÇÃO MANUAL,,,,AMB,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1431,FIXAÇÃO DO RETO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1432,FIXAÇÃO DO RETO POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1433,ÍLEO MECONIAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1434,INVAGINAÇÃO INTESTINAL COM OU SEM RESSECÇÃO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1435,MÁ-ROTAÇÃO INTESTINAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1436,MEGACÓLON CONGÊNITO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1437,MEMBRANA DUODENAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1438,PÂNCREAS ANULAR - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1439,PERFURAÇÃO DUODENAL OU DELGADO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1440,PILOROMIOTOMIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1441,PROCIDÊNCIA DO RETO - REDUÇÃO MANUAL,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1442,PROCTOCOLECTOMIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1443,PROCTOCOLECTOMIA COM RESERVATÓRIO ILEAL,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1444,PROCTOCOLECTOMIA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1445,PROCTOCOLECTOMIA COM RESERVATÓRIO ILEAL POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1446,RESSECÇÃO DE INTESTINO DELGADO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1447,RETOSSIGMOIDECTOMIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1448,RETOSSIGMOIDECTOMIA ABDOMINAL POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1449,TUMOR ANORRETAL - RESSECÇÃO,,,,,HCO,HSO,REF,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1450,ABSCESSO ANORRETAL - DRENAGEM,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1451,ABSCESSO ISQUIO-RETAL - DRENAGEM,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1452,CERCLAGEM ANAL,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1453,CORPO ESTRANHO DO RETO - RETIRADA,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1454,CRIPTECTOMIA,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1455,DILATAÇÃO DO ÂNUS E/OU DO RETO,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1456,ESFINCTEROPLASTIA ANAL,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1457,ESFINCTEROTOMIA,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1458,ESTENOSE ANAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1459,EXCISÃO DE PLICOMA,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1460,FISSURECTOMIA COM OU SEM ESFINCTEROTOMIA,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1461,FÍSTULA RETO-VAGINAL E FÍSTULA ANAL EM FERRADURA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1462,FISTULECTOMIA ANAL,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1463,FISTULECTOMIA ANORRETAL COM ABAIXAMENTO MUCOSO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1464,FISTULECTOMIA PERINEAL,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1465,HEMORRÓIDAS - LIGADURA ELÁSTICA,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1466,HEMORRÓIDAS - TRATAMENTO ESCLEROSANTE,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1467,"HEMORROIDECTOMIA ABERTA OU FECHADA, COM OU SEM ESFINCTEROTOMIA",,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1468,LACERAÇÃO ANORRETAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1469,LESÃO ANAL - ELETROCAUTERIZAÇÃO,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1470,PAPILECTOMIA,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1471,PÓLIPO RETAL - RESSECÇÃO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1472,PROLAPSO RETAL - ESCLEROSE,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1473,PROLAPSO RETAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1474,PRURIDO ANAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1475,RECONSTITUIÇÃO DE ESFINCTER ANAL POR PLÁSTICA MUSCULAR,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1476,RECONSTRUÇÃO TOTAL ANOPERINEAL,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1477,TRATAMENTO CIRÚRGICO DE RETOCELE,,,,,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1478,TROMBOSE HEMORROIDÁRIA - EXÉRESE,,,,AMB,HCO,HSO,REF,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1479,ABSCESSO HEPÁTICO - DRENAGEM CIRÚRGICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1480,ABSCESSO HEPÁTICO - DRENAGEM CIRÚRGICA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1481,ANASTOMOSE BILIODIGESTIVA INTRA-HEPÁTICA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1482,ATRESIA DE VIAS BILIARES - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1483,BIÓPSIA HEPÁTICA POR LAPAROTOMIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1484,BIÓPSIA HEPÁTICA POR VIDEOLAPAROSCOPIA,,,,AMB,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1485,BIÓPSIA HEPÁTICA TRANSPARIETAL,,,,AMB,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1486,COLECISTECTOMIA COM FÍSTULA BILIODIGESTIVA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1487,COLECISTECTOMIA COM FÍSTULA BILIODIGESTIVA POR VIDEOLAPAROSCOPIA,,,,,HCO,HSO,REF,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
